MSN,YYYYMM,Year,Month,Value,Column_Order,Description,Unit
FFPRBUS,198102,1981,02,4.714113,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198103,1981,03,5.205427,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198104,1981,04,4.138556,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198105,1981,05,4.24867,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198106,1981,06,4.675861,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198107,1981,07,5.010459,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198108,1981,08,5.180611,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198109,1981,09,5.067105,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198110,1981,10,5.257536,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198111,1981,11,4.957487,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198112,1981,12,5.136365,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198113,1981,13,58.529329,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198201,1982,01,4.922012,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198202,1982,02,4.732055,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198203,1982,03,5.270968,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198204,1982,04,4.874032,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198205,1982,05,4.8601,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198206,1982,06,4.763409,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198207,1982,07,4.593616,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198208,1982,08,4.832697,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198209,1982,09,4.617037,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198210,1982,10,4.768214,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198211,1982,11,4.584456,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198212,1982,12,4.63914,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198213,1982,13,57.457822,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198301,1983,01,4.706427,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198302,1983,02,4.292753,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198303,1983,03,4.6696,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198304,1983,04,4.438715,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198305,1983,05,4.494837,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198306,1983,06,4.374476,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198307,1983,07,4.329732,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198308,1983,08,4.714708,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198309,1983,09,4.550882,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198310,1983,10,4.703196,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198311,1983,11,4.578985,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198312,1983,12,4.561649,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198313,1983,13,54.415961,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198401,1984,01,4.977566,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198402,1984,02,4.773409,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198403,1984,03,5.063687,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198404,1984,04,4.816932,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198405,1984,05,5.070078,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198406,1984,06,4.844285,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198407,1984,07,4.927809,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198408,1984,08,5.245772,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198409,1984,09,4.893169,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198410,1984,10,4.803711,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198411,1984,11,4.639997,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198412,1984,12,4.79274,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198413,1984,13,58.849156,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198501,1985,01,4.872001,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198502,1985,02,4.576424,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198503,1985,03,4.988862,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198504,1985,04,4.80825,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198505,1985,05,4.909847,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198506,1985,06,4.673066,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198507,1985,07,4.659173,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198508,1985,08,4.860263,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198509,1985,09,4.676914,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198510,1985,10,4.932527,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198511,1985,11,4.634488,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198512,1985,12,4.946909,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198513,1985,13,57.538724,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198601,1986,01,5.146572,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198602,1986,02,4.637777,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198603,1986,03,4.969098,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198604,1986,04,4.667395,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198605,1986,05,4.708671,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198606,1986,06,4.54074,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198607,1986,07,4.539031,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198608,1986,08,4.670774,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198609,1986,09,4.514203,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198610,1986,10,4.771448,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198611,1986,11,4.594758,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198612,1986,12,4.814764,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198613,1986,13,56.575231,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198701,1987,01,4.934824,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198702,1987,02,4.531135,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198703,1987,03,4.878922,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198704,1987,04,4.620659,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198705,1987,05,4.622972,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198706,1987,06,4.638669,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198707,1987,07,4.546796,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198708,1987,08,4.801754,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198709,1987,09,4.724148,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198710,1987,10,5.000087,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198711,1987,11,4.84951,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198712,1987,12,5.017268,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198713,1987,13,57.166745,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198801,1988,01,4.952621,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198802,1988,02,4.75466,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198803,1988,03,5.088963,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198804,1988,04,4.697524,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198805,1988,05,4.746819,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198806,1988,06,4.663151,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198807,1988,07,4.552714,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198808,1988,08,4.996664,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198809,1988,09,4.723291,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198810,1988,10,4.867607,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198811,1988,11,4.887437,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198812,1988,12,4.943546,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198813,1988,13,57.874997,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198901,1989,01,5.00246,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198902,1989,02,4.544041,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198903,1989,03,5.057249,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198904,1989,04,4.709408,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198905,1989,05,4.897941,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198906,1989,06,4.652475,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198907,1989,07,4.436649,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198908,1989,08,4.978368,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198909,1989,09,4.720858,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198910,1989,10,4.924348,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198911,1989,11,4.893611,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198912,1989,12,4.665269,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,198913,1989,13,57.482679,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199001,1990,01,5.182336,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199002,1990,02,4.660229,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199003,1990,03,5.091319,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199004,1990,04,4.767989,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199005,1990,05,4.89357,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199006,1990,06,4.718147,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199007,1990,07,4.700484,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199008,1990,08,5.000195,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199009,1990,09,4.689989,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199010,1990,10,5.153647,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199011,1990,11,4.930831,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199012,1990,12,4.770867,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199013,1990,13,58.559602,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199101,1991,01,5.075167,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199102,1991,02,4.683585,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199103,1991,03,4.991864,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199104,1991,04,4.732359,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199105,1991,05,4.766459,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199106,1991,06,4.56338,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199107,1991,07,4.695011,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199108,1991,08,4.894729,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199109,1991,09,4.68794,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199110,1991,10,5.063228,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199111,1991,11,4.828018,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199112,1991,12,4.889987,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199113,1991,13,57.871727,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199201,1992,01,5.068281,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199202,1992,02,4.656159,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199203,1992,03,4.907525,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199204,1992,04,4.745491,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199205,1992,05,4.763,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199206,1992,06,4.669729,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199207,1992,07,4.775585,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199208,1992,08,4.771349,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199209,1992,09,4.712578,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199210,1992,10,4.940771,1,Total Fossil Fuels Production,Quadrillion Btu
