"","State","X1900","X1901","X1902","X1903","X1904","X1905","X1906","X1907","X1908","X1909","X1910","X1911","X1912","X1913","X1914","X1915","X1916","X1917","X1918","X1919","X1920","X1921","X1922","X1923","X1924","X1925","X1926","X1927","X1928","X1929","X1930","X1931","X1932","X1933","X1934","X1935","X1936","X1937","X1938","X1939","X1940","X1941","X1942","X1943","X1944","X1945","X1946","X1947","X1948","X1949","X1950census","X1950","X1951","X1952","X1953","X1954","X1955","X1956","X1957","X1958","X1959","X1960census.x","X1960census.y","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970census","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980.x","X1980.y","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990.x","X1999","X1998","X1997","X1996","X1995","X1994","X1993","X1992","X1991","X1990.y","census1990","census2000","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","census2010.x","X2010.x","census2010.y","EstimatesBase","X2010.y","X2011","X2012","X2013","X2014","X2015"
"36","NM",196000,206000,218000,229000,242000,255000,269000,283000,298000,314000,329000,334000,338000,344000,348000,351000,354000,361000,382000,362000,363000,370000,375000,382000,390000,396000,403000,410000,416000,420000,427000,436000,441000,449000,461000,475000,489000,503000,513000,523000,531000,506000,502000,534000,527000,537000,561000,582000,604000,644000,681000,689000,717000,735000,756000,763000,785000,806000,847000,886000,919000,951000,951000,954000,965000,979000,989000,1006000,1012000,1007000,1e+06,994000,1011000,1016000,1017055,1053737,1078697,1105529,1131309,1159944,1189295,1215720,1238034,1284722,1302894,1302894,1332748,1363823,1394361,1416717,1438361,1462729,1478520,1490337,1503901,1515069,1739844,1733535,1722939,1706151,1682417,1653329,1614937,1580750,1547115,1519933,1515069,"1,819,017","1,821,204","1,831,690","1,855,309","1,877,574","1,903,808","1,932,274","1,962,137","1,990,070","2,010,662","2,036,802","2,059,179","2,065,932","2,059,179","2,059,192","2,064,741","2,078,226","2,084,792","2,086,890","2,085,567","2,085,109"
"37","NV",43000,45000,49000,52000,56000,59000,64000,68000,73000,78000,82000,81000,81000,82000,83000,82000,82000,81000,77000,77000,78000,80000,81000,82000,84000,85000,87000,88000,89000,90000,92000,94000,96000,96000,98000,1e+05,101000,103000,105000,107000,113000,120000,137000,151000,153000,149000,143000,149000,156000,157000,160000,162000,168000,181000,195000,213000,237000,250000,260000,269000,279000,285000,285000,291000,315000,352000,397000,426000,444000,446000,449000,464000,480000,489000,488738,520018,546789,568991,596822,619972,646975,678333,719436,765367,800493,800493,847655,881537,901977,924922,951030,980613,1023376,1075022,1137382,1201833,1809253,1743772,1675581,1596476,1525777,1456388,1380197,1330694,1285046,1218629,1201675,"1,998,250","2,018,741","2,098,399","2,173,791","2,248,850","2,346,222","2,432,143","2,522,658","2,601,072","2,653,630","2,684,665","2,700,551","2,704,642","2,700,551","2,700,691","2,703,440","2,718,819","2,754,874","2,790,366","2,838,281","2,890,845"
"38","NY",7283000,7449000,7612000,7771000,7927000,8084000,8289000,8499000,8714000,8935000,9137000,9249000,9361000,9473000,9585000,9700000,9848000,9993000,9936000,10252000,10282000,10416000,10589000,10752000,10953000,11186000,11257000,11174000,11599000,12171000,12647000,12848000,13001000,13126000,13253000,13375000,13481000,13511000,13512000,13523000,13456000,13267000,13002000,12807000,12628000,12495000,13398000,13982000,14497000,14892000,14830000,14865000,14890000,15192000,15527000,15814000,15966000,16112000,16374000,16601000,16685000,16782000,16782000,16838000,17061000,17301000,17461000,17589000,17734000,17843000,17935000,18051000,18105000,18191000,18241391,18357982,18339400,18177063,18049775,18003485,17940541,17812602,17680589,17583838,17558072,17558072,17567734,17589738,17686905,17745684,17791672,17833419,17868848,17941309,17983086,17990455,18196601,18159175,18143184,18143805,18150928,18156652,18140894,18082032,18029532,18002855,17990778,"18,977,026","19,001,780","19,082,838","19,137,800","19,175,939","19,171,567","19,132,610","19,104,631","19,132,335","19,212,436","19,307,066","19,378,102","19,392,283","19,378,102","19,378,087","19,402,920","19,523,202","19,606,981","19,691,032","19,748,858","19,795,791"
"39","OH",4161000,4216000,4322000,4386000,4458000,4530000,4587000,4630000,4677000,4701000,4786000,4821000,4893000,4997000,5109000,5251000,5366000,5510000,5547000,5683000,5799000,5921000,6054000,6183000,6319000,6434000,6504000,6577000,6608000,6626000,6662000,6694000,6717000,6740000,6751000,6787000,6801000,6809000,6837000,6886000,6929000,6958000,6969000,6868000,6918000,6916000,7512000,7705000,7876000,7973000,7947000,7980000,8061000,8275000,8591000,8873000,9017000,9207000,9410000,9599000,9671000,9706000,9706000,9734000,9854000,9929000,9986000,10080000,10201000,10330000,10414000,10516000,10563000,10652000,10657423,10734818,10746993,10767314,10765759,10770425,10752662,10771394,10795581,10798298,10797630,10797630,10788330,10757087,10737632,10737746,10734926,10730268,10760090,10798552,10829217,10847115,11256654,11237752,11212498,11187032,11155493,11111451,11070385,11007609,10933683,10861837,10847115,"11,353,336","11,363,543","11,387,404","11,407,889","11,434,788","11,452,251","11,463,320","11,481,213","11,500,468","11,515,391","11,528,896","11,536,504","11,536,182","11,536,504","11,536,725","11,540,766","11,545,442","11,551,783","11,572,232","11,596,998","11,613,423"
"40","OK",8e+05,916000,1027000,1118000,1200000,1277000,1349000,1414000,1498000,1585000,1671000,1714000,1737000,1777000,1824000,1860000,1907000,1960000,1969000,2003000,2055000,2108000,2140000,2159000,2179000,2216000,2256000,2306000,2344000,2372000,2401000,2403000,2394000,2392000,2391000,2386000,2365000,2334000,2324000,2333000,2325000,2262000,2215000,2205000,2043000,2028000,2128000,2133000,2089000,2105000,2233000,2229000,2210000,2219000,2182000,2209000,2250000,2273000,2282000,2267000,2289000,2328000,2328000,2336000,2380000,2427000,2439000,2446000,2440000,2454000,2489000,2503000,2535000,2559000,2559463,2618601,2658646,2695931,2734768,2774683,2826815,2870014,2917336,2975310,3025290,3025290,3096164,3206123,3290402,3285533,3271332,3252735,3210122,3167057,3150307,3145585,3358044,3339478,3314259,3289634,3265547,3246119,3228829,3204174,3166471,3147105,3145576,"3,450,451","3,454,365","3,467,100","3,489,080","3,504,892","3,525,233","3,548,597","3,594,090","3,634,349","3,668,976","3,717,572","3,751,351","3,761,702","3,751,351","3,751,616","3,759,596","3,786,626","3,817,679","3,853,405","3,879,610","3,911,338"
"41","OR",415000,434000,454000,479000,504000,530000,555000,580000,610000,643000,677000,692000,706000,722000,736000,745000,756000,763000,763000,774000,788000,798000,814000,833000,856000,883000,905000,925000,936000,947000,956000,966000,972000,978000,985000,1001000,1025000,1048000,1067000,1081000,1086000,1071000,1107000,1221000,1233000,1250000,1338000,1361000,1405000,1431000,1521000,1532000,1556000,1582000,1601000,1626000,1659000,1698000,1712000,1718000,1746000,1769000,1769000,1772000,1787000,1818000,1853000,1888000,1937000,1969000,1979000,2004000,2062000,2091000,2091533,2151022,2197297,2241932,2285013,2329661,2378262,2446673,2518298,2588012,2633105,2633105,2667982,2664922,2653066,2666588,2672652,2683528,2700991,2741297,2790575,2842321,3316154,3282055,3243254,3195087,3141421,3087142,3034490,2973934,2918745,2858547,2842337,"3,421,524","3,429,708","3,467,937","3,513,424","3,547,376","3,569,463","3,613,202","3,670,883","3,722,417","3,768,748","3,808,600","3,831,074","3,838,957","3,831,074","3,831,073","3,837,972","3,868,509","3,899,444","3,928,030","3,971,202","4,028,977"
"42","PA",6313000,6439000,6567000,6699000,6833000,6970000,7110000,7253000,7398000,7546000,7706000,7850000,7986000,8139000,8276000,8362000,8463000,8578000,8524000,8643000,8740000,8900000,8982000,9148000,9383000,9478000,9594000,9745000,9802000,9723000,9649000,9707000,9764000,9784000,9795000,9774000,9767000,9790000,9952000,9901000,9896000,9911000,9704000,9444000,9214000,9143000,9866000,10196000,10287000,10390000,10498000,10507000,10461000,10503000,10662000,10817000,10939000,10972000,10954000,11058000,11234000,11319000,11319000,11329000,11392000,11355000,11424000,11519000,11620000,11664000,11681000,11741000,11741000,11794000,11800766,11886400,11908233,11890527,11870884,11906095,11897378,11893591,11879396,11887975,11863895,11863895,11858567,11845146,11837723,11815172,11770862,11782752,11810866,11845752,11865996,11881643,11994016,12002329,12015888,12038008,12044780,12042545,12022128,11980819,11943160,11895604,11882842,"12,280,548","12,284,173","12,298,970","12,331,031","12,374,658","12,410,722","12,449,990","12,510,809","12,563,937","12,612,285","12,666,858","12,702,379","12,709,630","12,702,379","12,702,887","12,712,014","12,745,202","12,772,789","12,783,536","12,793,767","12,802,503"
"43","RI",430000,441000,450000,460000,471000,481000,492000,505000,519000,532000,545000,556000,567000,578000,589000,597000,598000,606000,604000,603000,613000,629000,644000,656000,669000,680000,681000,677000,678000,684000,686000,681000,677000,675000,675000,678000,686000,694000,694000,701000,719000,731000,748000,760000,795000,776000,770000,776000,787000,801000,792000,786000,784000,802000,815000,816000,823000,840000,851000,858000,857000,859000,859000,855000,858000,871000,876000,885000,893000,899000,909000,922000,932000,950000,949723,963107,974790,975738,950615,942788,946089,950230,951816,950382,947154,947154,953013,954170,956382,961894,968955,977341,989604,996408,1000666,1003464,990819,987704,986966,987858,989203,993412,997852,1000571,1003990,1004649,1003464,"1,048,259","1,050,268","1,057,142","1,065,995","1,071,342","1,074,579","1,067,916","1,063,096","1,057,315","1,055,003","1,053,646","1,052,567","1,052,886","1,052,567","1,052,931","1,053,219","1,051,856","1,052,393","1,052,856","1,054,907","1,056,298"
"44","SC",1342000,1361000,1379000,1397000,1415000,1433000,1451000,1468000,1485000,1502000,1523000,1548000,1572000,1599000,1622000,1635000,1650000,1675000,1746000,1687000,1685000,1693000,1692000,1699000,1710000,1718000,1726000,1736000,1739000,1739000,1745000,1753000,1748000,1752000,1760000,1769000,1781000,1802000,1834000,1872000,1902000,1962000,2007000,1967000,1943000,1934000,1936000,1992000,1996000,2029000,2117000,2113000,2167000,2178000,2181000,2176000,2200000,2229000,2274000,2304000,2348000,2383000,2383000,2392000,2409000,2423000,2460000,2475000,2494000,2520000,2533000,2559000,2570000,2591000,2590713,2662269,2719197,2776605,2844749,2902028,2943657,2991681,3044364,3090267,3121820,3121820,3179255,3207614,3234066,3271868,3303209,3342758,3380506,3412096,3456775,3486703,3885736,3839578,3790066,3738974,3699943,3666456,3634507,3600576,3559470,3499064,3486310,"4,012,023","4,024,223","4,064,995","4,107,795","4,150,297","4,210,921","4,270,150","4,357,847","4,444,110","4,528,996","4,589,872","4,625,364","4,636,312","4,625,364","4,625,401","4,635,894","4,672,733","4,721,341","4,768,498","4,829,160","4,896,146"
"45","SD",403000,418000,431000,437000,452000,461000,477000,498000,527000,553000,590000,602000,592000,584000,581000,585000,595000,599000,570000,606000,640000,652000,660000,669000,673000,682000,683000,682000,685000,690000,693000,694000,692000,690000,682000,674000,666000,656000,649000,645000,641000,613000,589000,587000,565000,579000,588000,601000,612000,631000,653000,655000,655000,651000,648000,655000,663000,670000,666000,656000,667000,681000,681000,683000,693000,705000,708000,701000,692000,683000,671000,669000,668000,666000,666257,671297,677234,678715,679585,681042,686390,688480,688580,688335,690768,690768,689584,690597,693008,697249,698402,696034,696036,698165,696701,696004,733133,730789,730855,730699,728251,723038,716258,708698,701445,696667,696004,"754,858","755,844","757,972","760,020","763,729","770,396","775,493","783,033","791,623","799,124","807,067","814,180","816,463","814,180","814,191","816,299","824,289","834,631","845,270","853,304","858,469"
"46","TN",2023000,2041000,2060000,2082000,2086000,2111000,2136000,2136000,2164000,2177000,2191000,2197000,2218000,2257000,2289000,2294000,2304000,2331000,2288000,2305000,2329000,2369000,2424000,2463000,2502000,2531000,2553000,2608000,2624000,2604000,2619000,2657000,2711000,2747000,2784000,2798000,2791000,2795000,2821000,2874000,2935000,2973000,2939000,2972000,2868000,2878000,3074000,3166000,3216000,3236000,3292000,3315000,3372000,3352000,3319000,3359000,3415000,3415000,3434000,3471000,3522000,3567000,3567000,3575000,3622000,3673000,3718000,3771000,3798000,3822000,3859000,3878000,3897000,3924000,3926018,4013608,4094611,4147401,4213509,4275566,4346928,4422921,4486314,4560473,4591120,4591120,4627658,4646041,4659749,4686737,4715296,4738708,4782927,4822437,4854444,4877185,5483535,5432679,5378433,5313576,5241168,5163016,5085666,5013999,4946886,4890626,4877203,"5,689,427","5,703,719","5,750,789","5,795,918","5,847,812","5,910,809","5,991,057","6,088,766","6,175,727","6,247,411","6,306,019","6,346,105","6,356,897","6,346,105","6,346,275","6,356,585","6,398,408","6,455,469","6,496,130","6,547,779","6,600,299"
"47","TX",3055000,3132000,3210000,3291000,3374000,3459000,3546000,3636000,3727000,3821000,3922000,4016000,4107000,4207000,4300000,4368000,4444000,4563000,4666000,4631000,4723000,4853000,4955000,5077000,5210000,5332000,5453000,5577000,5675000,5762000,5844000,5907000,5961000,6014000,6053000,6123000,6192000,6250000,6301000,6360000,6425000,6585000,6711000,7012000,6876000,6826000,7197000,7388000,7626000,7623000,7711000,7776000,8111000,8314000,8336000,8382000,8660000,8830000,9070000,9252000,9405000,9580000,9580000,9624000,9820000,10053000,10159000,10270000,10378000,10492000,10599000,10819000,11045000,11197000,11198655,11509848,11759148,12019543,12268629,12568843,12904089,13193050,13500429,13888371,14229191,14229191,14746318,15331415,15751676,16007086,16272734,16561113,16621791,16667022,16806735,16986510,20044141,19712389,19355427,19006240,18679706,18338319,17996764,17650479,17339904,17044714,16986335,"20,851,028","20,944,499","21,319,622","21,690,325","22,030,931","22,394,023","22,778,123","23,359,580","23,831,983","24,309,039","24,801,761","25,145,561","25,257,114","25,145,561","25,146,105","25,244,363","25,654,464","26,089,741","26,500,674","26,979,078","27,469,114"
"48","UT",277000,284000,292000,299000,308000,316000,327000,339000,351000,363000,377000,387000,399000,410000,422000,430000,436000,444000,437000,446000,453000,457000,467000,474000,481000,487000,494000,5e+05,504000,508000,509000,513000,517000,520000,522000,526000,527000,529000,535000,543000,552000,551000,575000,631000,605000,591000,638000,636000,653000,671000,689000,696000,706000,724000,739000,750000,783000,809000,826000,845000,870000,891000,891000,9e+05,936000,958000,974000,978000,994000,1009000,1019000,1029000,1047000,1059000,1059273,1101192,1135449,1170040,1200471,1236030,1274928,1319512,1367510,1420238,1461037,1461037,1515471,1558314,1594943,1622342,1642910,1662834,1678119,1689372,1705864,1722850,2129836,2100562,2065397,2022253,1976774,1930436,1875993,1821498,1771941,1729722,1722850,"2,233,183","2,244,502","2,283,715","2,324,815","2,360,137","2,401,580","2,457,719","2,525,507","2,597,746","2,663,029","2,723,421","2,763,885","2,776,469","2,763,885","2,763,888","2,775,426","2,816,440","2,856,343","2,903,685","2,944,498","2,995,919"
"49","VA",1858000,1887000,1894000,1890000,1889000,1917000,1942000,1952000,1994000,2038000,2071000,2092000,2122000,2176000,2241000,2294000,2316000,2313000,2359000,2318000,2347000,2395000,2412000,2423000,2426000,2423000,2419000,2433000,2435000,2425000,2427000,2445000,2452000,2460000,2485000,2520000,2552000,2590000,2638000,2670000,2720000,2855000,3038000,3130000,3248000,3193000,3212000,3201000,3207000,3292000,3319000,3315000,3434000,3504000,3557000,3555000,3588000,3722000,3844000,3914000,3951000,3967000,3967000,3986000,4095000,4180000,4276000,4357000,4411000,4456000,4508000,4558000,4614000,4648000,4651448,4750838,4824472,4901292,4971069,5047395,5121863,5193112,5270240,5307945,5346818,5346818,5444097,5492783,5564657,5643870,5715153,5811700,5932268,6036909,6120246,6187358,6872912,6789225,6732878,6665491,6601392,6536771,6464795,6383315,6283853,6213526,6189197,"7,079,057","7,105,817","7,198,362","7,286,873","7,366,977","7,475,575","7,577,105","7,673,725","7,751,000","7,833,496","7,925,937","8,001,024","8,024,617","8,001,024","8,001,045","8,025,787","8,110,783","8,193,374","8,267,875","8,328,098","8,382,993"
"50","VT",344000,347000,349000,350000,353000,354000,355000,355000,354000,356000,357000,358000,359000,361000,362000,360000,360000,372000,352000,352000,353000,355000,354000,354000,355000,355000,356000,357000,358000,359000,360000,359000,358000,357000,357000,357000,357000,356000,356000,358000,363000,348000,343000,327000,314000,315000,342000,354000,359000,369000,378000,379000,378000,375000,379000,377000,375000,377000,376000,380000,387000,390000,390000,389000,390000,393000,397000,399000,404000,413000,423000,430000,437000,445000,444732,454318,463143,468430,473002,479713,484928,491931,498109,505372,511456,511456,515594,519109,523302,526660,530035,534066,540267,549763,557707,562758,593740,590579,588665,586352,582827,578900,574004,570115,567141,564526,562758,"608,613","609,618","612,223","615,442","617,858","619,920","621,215","622,892","623,481","624,151","624,817","625,741","625,960","625,741","625,745","625,984","626,687","626,398","627,129","626,767","626,042"
"51","WA",523000,583000,651000,719000,782000,842000,904000,967000,1028000,1091000,1148000,1167000,1184000,1209000,1231000,1239000,1255000,1287000,1341000,1333000,1373000,1405000,1415000,1433000,1467000,1494000,1516000,1538000,1551000,1555000,1568000,1581000,1584000,1592000,1610000,1629000,1653000,1681000,1698000,1715000,1740000,1789000,1901000,2027000,2092000,2206000,2288000,2211000,2255000,2294000,2379000,2387000,2424000,2448000,2466000,2516000,2604000,2668000,2724000,2773000,2821000,2853000,2853000,2855000,2882000,2942000,2955000,2961000,2967000,3057000,3174000,3270000,3343000,3409000,3413244,3447553,3447885,3478782,3549946,3621339,3693610,3776050,3889073,4017632,4132156,4132156,4235731,4276552,4300266,4343656,4400098,4452720,4531901,4639893,4746316,4866692,5756361,5687832,5604105,5509963,5431024,5334896,5247704,5139011,5013443,4900780,4866669,"5,894,281","5,910,512","5,985,722","6,052,349","6,104,115","6,178,645","6,257,305","6,370,753","6,461,587","6,562,231","6,667,426","6,724,540","6,744,496","6,724,540","6,724,543","6,743,060","6,823,229","6,897,292","6,973,281","7,063,166","7,170,351"
"52","WI",2072000,2109000,2141000,2171000,2202000,2231000,2250000,2268000,2292000,2317000,2345000,2369000,2407000,2438000,2490000,2535000,2562000,2587000,2597000,2600000,2679000,2722000,2761000,2803000,2833000,2863000,2892000,2916000,2923000,2934000,2950000,2990000,3021000,3040000,3054000,3070000,3082000,3088000,3098000,3121000,3143000,3140000,3053000,3014000,2980000,2961000,3167000,3250000,3314000,3391000,3435000,3438000,3439000,3469000,3506000,3608000,3679000,3742000,3791000,3843000,3891000,3952000,3952000,3962000,4009000,4049000,4112000,4165000,4232000,4274000,4303000,4345000,4378000,4418000,4417821,4462155,4502412,4524244,4545782,4578986,4595904,4626514,4646108,4682811,4705767,4705767,4726343,4728870,4721438,4735563,4747767,4755618,4777919,4822388,4856574,4891769,5250446,5222124,5200235,5173828,5137004,5095504,5055318,5004636,4952675,4902265,4891954,"5,363,757","5,373,999","5,406,835","5,445,162","5,479,203","5,514,026","5,546,166","5,577,655","5,610,775","5,640,996","5,669,264","5,686,986","5,691,047","5,686,986","5,687,289","5,690,204","5,709,720","5,726,422","5,743,653","5,759,432","5,771,337"
"53","WV",959000,972000,1e+06,1037000,1064000,1094000,1122000,1149000,1174000,1203000,1231000,1266000,1291000,1317000,1362000,1387000,1414000,1439000,1438000,1464000,1470000,1485000,1498000,1526000,1577000,1593000,1623000,1671000,1696000,1717000,1733000,1740000,1747000,1752000,1771000,1794000,1808000,1813000,1828000,1868000,1907000,1885000,1831000,1741000,1706000,1708000,1826000,1883000,1899000,1930000,2006000,2006000,1984000,1957000,1929000,1905000,1880000,1857000,1843000,1845000,1855000,1860000,1860000,1853000,1828000,1809000,1796000,1797000,1786000,1775000,1769000,1763000,1746000,1744000,1744237,1770657,1797648,1806360,1815447,1842250,1879503,1908088,1923395,1942146,1949644,1949644,1954124,1949604,1945061,1927697,1906831,1882350,1857585,1830215,1806568,1793477,1806928,1811688,1815588,1818983,1820560,1818490,1816179,1805462,1798212,1792481,1793477,"1,808,193","1,807,021","1,801,481","1,805,414","1,812,295","1,816,438","1,820,492","1,827,912","1,834,052","1,840,310","1,847,775","1,852,994","1,853,973","1,852,994","1,853,011","1,854,225","1,854,948","1,856,283","1,852,985","1,848,751","1,844,128"
