"","Year","State","TotalVotes","Candidate1Votes","Candidate1%","Candidate1EV","Candidate2Votes","Candidate2%","Candidate2EV","Candidate3Votes","Candidate3%","Candidate3EV","Candidate4Votes","Candidate4%","Candidate4EV"
"4511",1932,"Oregon","368,751","213,871","58.0","5","136,019","36.9","",NA,NA,NA,NA,NA,NA
"4611",1932,"Pennsylvania","2,859,021","1,295,948","45.3","","1,453,540","50.8","36",NA,NA,NA,NA,NA,NA
"4711",1932,"Rhode Island","266,170","146,604","55.1","4","115,266","43.3","",NA,NA,NA,NA,NA,NA
"4811",1932,"South Carolina","104,407","102,347","98.0","8","1,978","1.9","",NA,NA,NA,NA,NA,NA
"4910",1932,"South Dakota","288,438","183,515","63.6","4","99,212","34.4","",NA,NA,NA,NA,NA,NA
"507",1932,"Tennessee","390,273","259,473","66.5","11","126,752","32.5","",NA,NA,NA,NA,NA,NA
"5115",1932,"Texas","863,406","760,348","88.1","23","97,959","11.3","",NA,NA,NA,NA,NA,NA
"5211",1932,"Utah","206,578","116,750","56.5","4","84,795","41.0","",NA,NA,NA,NA,NA,NA
"532",1932,"Vermont","136,980","56,266","41.1","","78,984","57.7","3",NA,NA,NA,NA,NA,NA
"542",1932,"Virginia","297,942","203,979","68.5","11","89,637","30.1","",NA,NA,NA,NA,NA,NA
"552",1932,"Washington","614,814","353,260","57.5","8","208,645","33.9","",NA,NA,NA,NA,NA,NA
"562",1932,"West Virginia","743,774","405,124","54.5","8","330,731","44.5","",NA,NA,NA,NA,NA,NA
"572",1932,"Wisconsin","1,114,814","707,410","63.5","12","347,741","31.2","",NA,NA,NA,NA,NA,NA
"582",1932,"Wyoming","96,962","54,370","56.1","3","39,583","40.8","",NA,NA,NA,NA,NA,NA
"460",1936,"Alabama","275,744","238,196","86.4","11","35,358","12.8","Â",NA,NA,NA,NA,NA,NA
"530",1936,"Arizona","124,163","86,722","69.8","3","33,433","26.9","Â",NA,NA,NA,NA,NA,NA
"626",1936,"Arkansas","179,431","146,765","81.8","9","32,049","17.9","Â",NA,NA,NA,NA,NA,NA
"726",1936,"California","2,638,882","1,766,836","67.0","22","836,431","31.7","Â",NA,NA,NA,NA,NA,NA
"826",1936,"Colorado","488,685","295,021","60.4","6","181,267","37.1","Â",NA,NA,NA,NA,NA,NA
"926",1936,"Connecticut","690,723","382,129","55.3","8","278,685","40.3","Â",NA,NA,NA,NA,NA,NA
"1026",1936,"Delaware","127,603","69,702","54.6","3","54,014","42.3","Â",NA,NA,NA,NA,NA,NA
"1128",1936,"Florida","327,436","249,117","76.1","7","78,248","23.9","Â",NA,NA,NA,NA,NA,NA
"1228",1936,"Georgia","293,170","255,363","87.1","12","36,943","12.6","Â",NA,NA,NA,NA,NA,NA
"1328",1936,"Idaho","199,617","125,683","63.0","4","66,256","33.2","Â",NA,NA,NA,NA,NA,NA
"1428",1936,"Illinois","3,956,522","2,282,999","57.7","29","1,570,393","39.7","Â",NA,NA,NA,NA,NA,NA
"1528",1936,"Indiana","1,650,897","934,974","56.6","14","691,570","41.9","Â",NA,NA,NA,NA,NA,NA
"1628",1936,"Iowa","1,142,737","621,756","54.4","11","487,977","42.7","Â",NA,NA,NA,NA,NA,NA
"1728",1936,"Kansas","865,507","464,520","53.7","9","397,727","46.0","Â",NA,NA,NA,NA,NA,NA
"1828",1936,"Kentucky","926,214","541,944","58.5","11","369,702","39.9","Â",NA,NA,NA,NA,NA,NA
"1928",1936,"Louisiana","329,778","292,894","88.8","10","36,791","11.2","Â",NA,NA,NA,NA,NA,NA
"2028",1936,"Maine","304,240","126,333","41.5","Â","168,823","55.5","5",NA,NA,NA,NA,NA,NA
"2128",1936,"Maryland","624,896","389,612","62.3","8","231,435","37.0","Â",NA,NA,NA,NA,NA,NA
"2228",1936,"Massachusetts","1,840,357","942,716","51.2","17","768,613","41.8","Â",NA,NA,NA,NA,NA,NA
"2328",1936,"Michigan","1,805,098","1,016,794","56.3","19","699,733","38.8","Â",NA,NA,NA,NA,NA,NA
"2428",1936,"Minnesota","1,129,975","698,811","61.8","11","350,461","31.0","Â",NA,NA,NA,NA,NA,NA
"2528",1936,"Mississippi","162,142","157,333","97.0","9","4,467","2.8","Â",NA,NA,NA,NA,NA,NA
"2628",1936,"Missouri","1,828,635","1,111,043","60.8","15","697,891","38.2","Â",NA,NA,NA,NA,NA,NA
"2728",1936,"Montana","230,502","159,690","69.3","4","63,598","27.6","Â",NA,NA,NA,NA,NA,NA
"2827",1936,"Nebraska","608,023","347,445","57.1","7","247,731","40.7","Â",NA,NA,NA,NA,NA,NA
"2927",1936,"Nevada","43,848","31,925","72.8","3","11,923","27.2","Â",NA,NA,NA,NA,NA,NA
"3024",1936,"New Hampshire","218,114","108,460","49.7","4","104,642","48.0","Â",NA,NA,NA,NA,NA,NA
"3123",1936,"New Jersey","1,820,437","1,083,850","59.5","16","720,322","39.6","Â",NA,NA,NA,NA,NA,NA
"3221",1936,"New Mexico","169,135","106,037","62.7","3","61,727","36.5","Â",NA,NA,NA,NA,NA,NA
"3321",1936,"New York","5,596,398","3,293,222","58.8","47","2,180,670","39.0","Â",NA,NA,NA,NA,NA,NA
"3421",1936,"North Carolina","839,475","616,141","73.4","13","223,294","26.6","Â",NA,NA,NA,NA,NA,NA
"3520",1936,"North Dakota","273,716","163,148","59.6","4","72,751","26.6","Â",NA,NA,NA,NA,NA,NA
"3618",1936,"Ohio","3,012,660","1,747,140","58.0","26","1,127,855","37.4","Â",NA,NA,NA,NA,NA,NA
"3718",1936,"Oklahoma","749,740","501,069","66.8","11","245,122","32.7","Â",NA,NA,NA,NA,NA,NA
"3817",1936,"Oregon","414,021","266,733","64.4","5","122,706","29.6","Â",NA,NA,NA,NA,NA,NA
"3917",1936,"Pennsylvania","4,138,105","2,353,788","56.9","36","1,690,300","40.8","Â",NA,NA,NA,NA,NA,NA
"4016",1936,"Rhode Island","310,278","164,338","53.0","4","125,031","40.3","Â",NA,NA,NA,NA,NA,NA
"4122",1936,"South Carolina","115,437","113,791","98.6","8","1,646","1.4","Â",NA,NA,NA,NA,NA,NA
"4219",1936,"South Dakota","296,452","160,137","54.0","4","125,977","42.5","Â",NA,NA,NA,NA,NA,NA
"4316",1936,"Tennessee","475,533","327,083","68.8","11","146,516","30.8","Â",NA,NA,NA,NA,NA,NA
"4413",1936,"Texas","843,482","734,485","87.1","23","103,874","12.3","Â",NA,NA,NA,NA,NA,NA
"4512",1936,"Utah","216,679","150,248","69.3","4","64,555","29.8","Â",NA,NA,NA,NA,NA,NA
"4612",1936,"Vermont","143,689","62,124","43.2","Â","81,023","56.4","3",NA,NA,NA,NA,NA,NA
"4712",1936,"Virginia","334,590","234,980","70.2","11","98,336","29.4","Â",NA,NA,NA,NA,NA,NA
"4812",1936,"Washington","692,338","459,579","66.4","8","206,892","29.9","Â",NA,NA,NA,NA,NA,NA
"4911",1936,"West Virginia","829,945","502,582","60.6","8","325,358","39.2","Â",NA,NA,NA,NA,NA,NA
"508",1936,"Wisconsin","1,258,560","802,984","63.8","12","380,828","30.3","Â",NA,NA,NA,NA,NA,NA
"5116",1936,"Wyoming","103,382","62,624","60.6","3","38,739","37.5","Â",NA,NA,NA,NA,NA,NA
"5212",1936,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1129",1940,"Alabama","294,219","250,726","85.2","11","42,184","14.3","",NA,NA,NA,NA,NA,NA
"1229",1940,"Arizona","150,039","95,267","63.5","3","54,030","36.0","",NA,NA,NA,NA,NA,NA
"1329",1940,"Arkansas","200,429","157,213","78.4","9","42,122","21.0","",NA,NA,NA,NA,NA,NA
"1429",1940,"California","3,268,791","1,877,618","57.4","22","1,351,419","41.3","",NA,NA,NA,NA,NA,NA
"1529",1940,"Colorado","549,004","265,554","48.4","","279,576","50.9","6",NA,NA,NA,NA,NA,NA
"1629",1940,"Connecticut","781,502","417,621","53.4","8","361,819","46.3","",NA,NA,NA,NA,NA,NA
"1729",1940,"Delaware","136,374","74,599","54.7","3","61,440","45.1","",NA,NA,NA,NA,NA,NA
"1829",1940,"Florida","485,640","359,334","74.0","7","126,158","26.0","",NA,NA,NA,NA,NA,NA
"1929",1940,"Georgia","312,686","265,194","84.8","12","46,495","14.9","",NA,NA,NA,NA,NA,NA
"2029",1940,"Idaho","235,168","127,842","54.4","4","106,553","45.3","",NA,NA,NA,NA,NA,NA
"2129",1940,"Illinois","4,217,935","2,149,934","51.0","29","2,047,240","48.5","",NA,NA,NA,NA,NA,NA
"2229",1940,"Indiana","1,782,747","874,063","49.0","","899,466","50.5","14",NA,NA,NA,NA,NA,NA
"2329",1940,"Iowa","1,215,432","578,802","47.6","","632,370","52.0","11",NA,NA,NA,NA,NA,NA
"2429",1940,"Kansas","860,297","364,725","42.4","","489,169","56.9","9",NA,NA,NA,NA,NA,NA
"2529",1940,"Kentucky","970,163","557,322","57.4","11","410,384","42.3","",NA,NA,NA,NA,NA,NA
"2629",1940,"Louisiana","372,305","319,751","85.9","10","52,446","14.1","",NA,NA,NA,NA,NA,NA
"2729",1940,"Maine","320,840","156,478","48.8","","163,951","51.1","5",NA,NA,NA,NA,NA,NA
"2828",1940,"Maryland","660,104","384,546","58.3","8","269,534","40.8","",NA,NA,NA,NA,NA,NA
"2928",1940,"Massachusetts","2,026,993","1,076,522","53.1","17","939,700","46.4","",NA,NA,NA,NA,NA,NA
"3025",1940,"Michigan","2,085,929","1,032,991","49.5","","1,039,917","49.9","19",NA,NA,NA,NA,NA,NA
"3124",1940,"Minnesota","1,251,188","644,196","51.5","11","596,274","47.7","",NA,NA,NA,NA,NA,NA
"3222",1940,"Mississippi","175,824","168,267","95.7","9","7,364","4.2","",NA,NA,NA,NA,NA,NA
"3322",1940,"Missouri","1,833,729","958,476","52.3","15","871,009","47.5","",NA,NA,NA,NA,NA,NA
"3422",1940,"Montana","247,873","145,698","58.8","4","99,579","40.2","",NA,NA,NA,NA,NA,NA
"3521",1940,"Nebraska","615,878","263,677","42.8","","352,201","57.2","7",NA,NA,NA,NA,NA,NA
"3619",1940,"Nevada","53,174","31,945","60.1","3","21,229","39.9","",NA,NA,NA,NA,NA,NA
"3719",1940,"New Hampshire","235,419","125,292","53.2","4","110,127","46.8","",NA,NA,NA,NA,NA,NA
"3818",1940,"New Jersey","1,972,552","1,016,808","51.5","16","945,475","47.9","",NA,NA,NA,NA,NA,NA
"3918",1940,"New Mexico","183,258","103,699","56.6","3","79,315","43.3","",NA,NA,NA,NA,NA,NA
"4017",1940,"New York","6,301,596","3,251,918","51.6","47","3,027,478","48.0","",NA,NA,NA,NA,NA,NA
"4123",1940,"North Carolina","822,648","609,015","74.0","13","213,633","26.0","",NA,NA,NA,NA,NA,NA
"4220",1940,"North Dakota","280,775","124,036","44.2","","154,590","55.1","4",NA,NA,NA,NA,NA,NA
"4317",1940,"Ohio","3,319,912","1,733,139","52.2","26","1,586,773","47.8","",NA,NA,NA,NA,NA,NA
"4414",1940,"Oklahoma","826,212","474,313","57.4","11","348,872","42.2","",NA,NA,NA,NA,NA,NA
"4513",1940,"Oregon","481,240","258,415","53.7","5","219,555","45.6","",NA,NA,NA,NA,NA,NA
"4613",1940,"Pennsylvania","4,078,714","2,171,035","53.2","36","1,889,848","46.3","",NA,NA,NA,NA,NA,NA
"4713",1940,"Rhode Island","321,152","182,181","56.7","4","138,654","43.2","",NA,NA,NA,NA,NA,NA
"4813",1940,"South Carolina","99,830","95,470","95.6","8","4,360","4.4","",NA,NA,NA,NA,NA,NA
"4912",1940,"South Dakota","308,427","131,362","42.6","","177,065","57.4","4",NA,NA,NA,NA,NA,NA
"509",1940,"Tennessee","522,823","351,601","67.3","11","169,153","32.4","",NA,NA,NA,NA,NA,NA
"5117",1940,"Texas","1,041,168","840,151","80.7","23","199,152","19.1","",NA,NA,NA,NA,NA,NA
"5213",1940,"Utah","247,819","154,277","62.3","4","93,151","37.6","",NA,NA,NA,NA,NA,NA
"533",1940,"Vermont","143,062","64,269","44.9","","78,371","54.8","3",NA,NA,NA,NA,NA,NA
"543",1940,"Virginia","346,608","235,961","68.1","11","109,363","31.6","",NA,NA,NA,NA,NA,NA
"553",1940,"Washington","793,833","462,145","58.2","8","322,123","40.6","",NA,NA,NA,NA,NA,NA
"563",1940,"West Virginia","868,076","495,662","57.1","8","372,414","42.9","",NA,NA,NA,NA,NA,NA
"573",1940,"Wisconsin","1,405,522","704,821","50.1","12","679,206","48.3","",NA,NA,NA,NA,NA,NA
"583",1940,"Wyoming","112,240","59,287","52.8","3","52,633","46.9","",NA,NA,NA,NA,NA,NA
"1130",1944,"Alabama","244,743","198,918","81.3","11","44,540","18.2","",NA,NA,NA,NA,NA,NA
"1230",1944,"Arizona","137,634","80,926","58.8","4","56,287","40.9","",NA,NA,NA,NA,NA,NA
"1330",1944,"Arkansas","212,954","148,965","70.0","9","63,551","29.8","",NA,NA,NA,NA,NA,NA
"1430",1944,"California","3,520,875","1,988,564","56.5","25","1,512,965","43.0","",NA,NA,NA,NA,NA,NA
"1530",1944,"Colorado","505,039","234,331","46.4","","268,731","53.2","6",NA,NA,NA,NA,NA,NA
"1630",1944,"Connecticut","831,990","435,146","52.3","8","390,527","46.9","",NA,NA,NA,NA,NA,NA
"1730",1944,"Delaware","125,361","68,166","54.4","3","56,747","45.3","",NA,NA,NA,NA,NA,NA
"1830",1944,"Florida","482,803","339,377","70.3","8","143,215","29.7","",NA,NA,NA,NA,NA,NA
"1930",1944,"Georgia","328,129","268,187","81.7","12","56,506","17.2","",NA,NA,NA,NA,NA,NA
"2030",1944,"Idaho","208,321","107,399","51.6","4","100,137","48.1","",NA,NA,NA,NA,NA,NA
"2130",1944,"Illinois","4,036,061","2,079,479","51.5","28","1,939,314","48.0","",NA,NA,NA,NA,NA,NA
"2230",1944,"Indiana","1,672,091","781,403","46.7","","875,891","52.4","13",NA,NA,NA,NA,NA,NA
"2330",1944,"Iowa","1,052,599","499,876","47.5","","547,267","52.0","10",NA,NA,NA,NA,NA,NA
"2430",1944,"Kansas","733,776","287,458","39.2","","442,096","60.2","8",NA,NA,NA,NA,NA,NA
"2530",1944,"Kentucky","867,924","472,589","54.5","11","392,448","45.2","",NA,NA,NA,NA,NA,NA
"2630",1944,"Louisiana","349,383","281,564","80.6","10","67,750","19.4","",NA,NA,NA,NA,NA,NA
"2730",1944,"Maine","296,400","140,631","47.4","","155,434","52.4","5",NA,NA,NA,NA,NA,NA
"2829",1944,"Maryland","608,439","315,490","51.9","8","292,949","48.1","",NA,NA,NA,NA,NA,NA
"2929",1944,"Massachusetts","1,960,665","1,035,296","52.8","16","921,350","47.0","",NA,NA,NA,NA,NA,NA
"3026",1944,"Michigan","2,205,223","1,106,899","50.2","19","1,084,423","49.2","",NA,NA,NA,NA,NA,NA
"3125",1944,"Minnesota","1,125,504","589,864","52.4","11","527,416","46.9","",NA,NA,NA,NA,NA,NA
"3223",1944,"Mississippi","180,234","168,621","93.6","9","11,613","6.4","",NA,NA,NA,NA,NA,NA
"3323",1944,"Missouri","1,571,697","807,356","51.4","15","761,175","48.4","",NA,NA,NA,NA,NA,NA
"3423",1944,"Montana","207,355","112,556","54.3","4","93,163","44.9","",NA,NA,NA,NA,NA,NA
"3522",1944,"Nebraska","563,126","233,246","41.4","","329,880","58.6","6",NA,NA,NA,NA,NA,NA
"3620",1944,"Nevada","54,234","29,623","54.6","3","24,611","45.4","",NA,NA,NA,NA,NA,NA
"3720",1944,"New Hampshire","229,625","119,663","52.1","4","109,916","47.9","",NA,NA,NA,NA,NA,NA
"3819",1944,"New Jersey","1,963,761","987,874","50.3","16","961,335","49.0","",NA,NA,NA,NA,NA,NA
"3919",1944,"New Mexico","152,225","81,389","53.5","4","70,688","46.4","",NA,NA,NA,NA,NA,NA
"4018",1944,"New York","6,316,790","3,304,238","52.3","47","2,987,647","47.3","",NA,NA,NA,NA,NA,NA
"4124",1944,"North Carolina","790,554","527,399","66.7","14","263,155","33.3","",NA,NA,NA,NA,NA,NA
"4221",1944,"North Dakota","220,182","100,144","45.5","","118,535","53.8","4",NA,NA,NA,NA,NA,NA
"4318",1944,"Ohio","3,153,056","1,570,763","49.8","","1,582,293","50.2","25",NA,NA,NA,NA,NA,NA
"4415",1944,"Oklahoma","722,636","401,549","55.6","10","319,424","44.2","",NA,NA,NA,NA,NA,NA
"4514",1944,"Oregon","480,147","248,635","51.8","6","225,365","46.9","",NA,NA,NA,NA,NA,NA
"4614",1944,"Pennsylvania","3,794,793","1,940,479","51.1","35","1,835,054","48.4","",NA,NA,NA,NA,NA,NA
"4714",1944,"Rhode Island","299,276","175,356","58.6","4","123,487","41.3","",NA,NA,NA,NA,NA,NA
"4814",1944,"South Carolina","103,382","90,601","87.6","8","4,554","4.4","",NA,NA,NA,NA,NA,NA
"4913",1944,"South Dakota","232,076","96,711","41.7","","135,365","58.3","4",NA,NA,NA,NA,NA,NA
"5010",1944,"Tennessee","510,692","308,707","60.4","12","200,311","39.2","",NA,NA,NA,NA,NA,NA
"5118",1944,"Texas","1,150,334","821,605","71.4","23","191,423","16.6","",NA,NA,NA,NA,NA,NA
"5214",1944,"Utah","248,319","150,088","60.4","4","97,891","39.4","",NA,NA,NA,NA,NA,NA
"534",1944,"Vermont","125,361","53,820","42.9","","71,527","57.1","3",NA,NA,NA,NA,NA,NA
"544",1944,"Virginia","388,485","242,276","62.4","11","145,243","37.4","",NA,NA,NA,NA,NA,NA
"554",1944,"Washington","856,328","486,774","56.8","8","361,689","42.2","",NA,NA,NA,NA,NA,NA
"564",1944,"West Virginia","715,596","392,777","54.9","8","322,819","45.1","",NA,NA,NA,NA,NA,NA
"574",1944,"Wisconsin","1,339,152","650,413","48.6","","674,532","50.4","12",NA,NA,NA,NA,NA,NA
"584",1944,"Wyoming","101,340","49,419","48.8","","51,921","51.2","3",NA,NA,NA,NA,NA,NA
"591",1944,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1231",1948,"Alabama","214,980","--","0.0","","40,930","19.0","","171,443","79.7","11",NA,NA,NA
"1331",1948,"Arizona","177,065","95,251","53.8","4","77,597","43.8","","--","0.0","Â",NA,NA,NA
"1431",1948,"Arkansas","242,475","149,659","61.7","9","50,959","21.0","","40,068","16.5","Â",NA,NA,NA
"1531",1948,"California","4,021,538","1,913,134","47.6","25","1,895,269","47.1","","1,228","0.0","Â",NA,NA,NA
"1631",1948,"Colorado","515,237","267,288","51.9","6","239,714","46.5","","--","0.0","Â",NA,NA,NA
"1731",1948,"Connecticut","883,518","423,297","47.9","","437,754","49.5","8","--","0.0","Â",NA,NA,NA
"1831",1948,"Delaware","139,073","67,813","48.8","","69,588","50.0","3","--","0.0","Â",NA,NA,NA
"1931",1948,"Florida","577,643","281,988","48.8","8","194,280","33.6","","89,755","15.5","Â",NA,NA,NA
"2031",1948,"Georgia","418,844","254,646","60.8","12","76,691","18.3","","85,135","20.3","Â",NA,NA,NA
"2131",1948,"Idaho","214,816","107,370","50.0","4","101,514","47.3","","--","0.0","Â",NA,NA,NA
"2231",1948,"Illinois","3,984,046","1,994,715","50.1","28","1,961,103","49.2","","--","0.0","Â",NA,NA,NA
"2331",1948,"Indiana","1,656,212","807,831","48.8","","821,079","49.6","13","--","0.0","Â",NA,NA,NA
"2431",1948,"Iowa","1,038,264","522,380","50.3","10","494,018","47.6","","--","0.0","Â",NA,NA,NA
"2531",1948,"Kansas","788,819","351,902","44.6","","423,039","53.6","8","--","0.0","Â",NA,NA,NA
"2631",1948,"Kentucky","822,658","466,756","56.7","11","341,210","41.5","","10,411","1.3","Â",NA,NA,NA
"2731",1948,"Louisiana","416,336","136,344","32.7","","72,657","17.5","","204,290","49.1","10",NA,NA,NA
"2830",1948,"Maine","264,787","111,916","42.3","","150,234","56.7","5","--","0.0","Â",NA,NA,NA
"2930",1948,"Maryland","596,748","286,521","48.0","","294,814","49.4","8","2,489","0.4","Â",NA,NA,NA
"3027",1948,"Massachusetts","2,107,146","1,151,788","54.7","16","909,370","43.2","","--","0.0","Â",NA,NA,NA
"3126",1948,"Michigan","2,109,609","1,003,448","47.6","","1,038,595","49.2","19","--","0.0","Â",NA,NA,NA
"3224",1948,"Minnesota","1,212,226","692,966","57.2","11","483,617","39.9","","--","0.0","Â",NA,NA,NA
"3324",1948,"Mississippi","192,190","19,384","10.1","","5,043","2.6","","167,538","87.2","9",NA,NA,NA
"3424",1948,"Missouri","1,578,628","917,315","58.1","15","655,039","41.5","","--","0.0","Â",NA,NA,NA
"3523",1948,"Montana","224,278","119,071","53.1","4","96,770","43.1","","--","0.0","Â",NA,NA,NA
"3621",1948,"Nebraska","488,940","224,165","45.8","","264,774","54.2","6","--","0.0","Â",NA,NA,NA
"3721",1948,"Nevada","62,117","31,291","50.4","3","29,357","47.3","","--","0.0","Â",NA,NA,NA
"3820",1948,"New Hampshire","231,440","107,995","46.7","","121,299","52.4","4","7","0.0","Â",NA,NA,NA
"3920",1948,"New Jersey","1,949,555","895,455","45.9","","981,124","50.3","16","--","0.0","Â",NA,NA,NA
"4019",1948,"New Mexico","187,063","105,464","56.4","4","80,303","42.9","","--","0.0","Â",NA,NA,NA
"4125",1948,"New York","6,177,337","2,780,204","45.0","","2,841,163","46.0","47","--","0.0","Â",NA,NA,NA
"4222",1948,"North Carolina","791,209","459,070","58.0","14","258,572","32.7","","69,652","8.8","Â",NA,NA,NA
"4319",1948,"North Dakota","220,716","95,812","43.4","","115,139","52.2","4","374","0.2","Â",NA,NA,NA
"4416",1948,"Ohio","2,936,071","1,452,791","49.5","25","1,445,684","49.2","","--","0.0","Â",NA,NA,NA
"4515",1948,"Oklahoma","721,599","452,782","62.7","10","268,817","37.3","","--","0.0","Â",NA,NA,NA
"4615",1948,"Oregon","524,080","243,147","46.4","","260,904","49.8","6","--","0.0","Â",NA,NA,NA
"4715",1948,"Pennsylvania","3,735,348","1,752,426","46.9","","1,902,197","50.9","35","--","0.0","Â",NA,NA,NA
"4815",1948,"Rhode Island","327,702","188,736","57.6","4","135,787","41.4","","--","0.0","Â",NA,NA,NA
"4914",1948,"South Carolina","142,571","34,423","24.1","","5,386","3.8","","102,607","72.0","8",NA,NA,NA
"5011",1948,"South Dakota","250,105","117,653","47.0","","129,651","51.8","4","--","0.0","Â",NA,NA,NA
"5119",1948,"Tennessee","550,283","270,402","49.1","11","202,914","36.9","","73,815","13.4","1",NA,NA,NA
"5215",1948,"Texas","1,147,245","750,700","65.4","23","282,240","24.6","","106,909","9.3","Â",NA,NA,NA
"535",1948,"Utah","276,306","149,151","54.0","4","124,402","45.0","","--","0.0","Â",NA,NA,NA
"545",1948,"Vermont","123,382","45,557","36.9","","75,926","61.5","3","--","0.0","Â",NA,NA,NA
"555",1948,"Virginia","419,256","200,786","47.9","11","172,070","41.0","","43,393","10.4","Â",NA,NA,NA
"565",1948,"Washington","905,058","476,165","52.6","8","386,314","42.7","","--","0.0","Â",NA,NA,NA
"575",1948,"West Virginia","748,750","429,188","57.3","8","316,251","42.2","","--","0.0","Â",NA,NA,NA
"585",1948,"Wisconsin","1,276,800","647,310","50.7","12","590,959","46.3","","--","0.0","Â",NA,NA,NA
"592",1948,"Wyoming","101,425","52,354","51.6","3","47,947","47.3","","--","0.0","Â",NA,NA,NA
"60",1948,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1131",1952,"Alabama","426,120","149,231","35.0","","275,075","64.6","11",NA,NA,NA,NA,NA,NA
"1232",1952,"Arizona","260,570","152,042","58.3","4","108,528","41.7","",NA,NA,NA,NA,NA,NA
"1332",1952,"Arkansas","404,800","177,155","43.8","","226,300","55.9","8",NA,NA,NA,NA,NA,NA
"1432",1952,"California","5,141,849","2,897,310","56.3","32","2,197,548","42.7","",NA,NA,NA,NA,NA,NA
"1532",1952,"Colorado","630,103","379,782","60.3","6","245,504","39.0","",NA,NA,NA,NA,NA,NA
"1632",1952,"Connecticut","1,096,911","611,012","55.7","8","481,649","43.9","",NA,NA,NA,NA,NA,NA
"1732",1952,"Delaware","174,025","90,059","51.8","3","83,315","47.9","",NA,NA,NA,NA,NA,NA
"1832",1952,"Florida","989,337","544,036","55.0","10","444,950","45.0","",NA,NA,NA,NA,NA,NA
"1932",1952,"Georgia","655,785","198,961","30.3","","456,823","69.7","12",NA,NA,NA,NA,NA,NA
"2032",1952,"Idaho","276,254","180,707","65.4","4","95,081","34.4","",NA,NA,NA,NA,NA,NA
"2132",1952,"Illinois","4,481,058","2,457,327","54.8","27","2,013,920","44.9","",NA,NA,NA,NA,NA,NA
"2232",1952,"Indiana","1,955,049","1,136,259","58.1","13","801,530","41.0","",NA,NA,NA,NA,NA,NA
"2332",1952,"Iowa","1,268,773","808,906","63.8","10","451,513","35.6","",NA,NA,NA,NA,NA,NA
"2432",1952,"Kansas","896,166","616,302","68.8","8","273,296","30.5","",NA,NA,NA,NA,NA,NA
"2532",1952,"Kentucky","993,148","495,029","49.8","","495,729","49.9","10",NA,NA,NA,NA,NA,NA
"2632",1952,"Louisiana","651,952","306,925","47.1","","345,027","52.9","10",NA,NA,NA,NA,NA,NA
"2732",1952,"Maine","351,786","232,353","66.0","5","118,806","33.8","",NA,NA,NA,NA,NA,NA
"2831",1952,"Maryland","902,074","499,424","55.4","9","395,337","43.8","",NA,NA,NA,NA,NA,NA
"2931",1952,"Massachusetts","2,383,398","1,292,325","54.2","16","1,083,525","45.5","",NA,NA,NA,NA,NA,NA
"3028",1952,"Michigan","2,798,592","1,551,529","55.4","20","1,230,657","44.0","",NA,NA,NA,NA,NA,NA
"3127",1952,"Minnesota","1,379,483","763,211","55.3","11","608,458","44.1","",NA,NA,NA,NA,NA,NA
"3225",1952,"Mississippi","285,532","112,966","39.6","","172,566","60.4","8",NA,NA,NA,NA,NA,NA
"3325",1952,"Missouri","1,892,062","959,429","50.7","13","929,830","49.1","",NA,NA,NA,NA,NA,NA
"3425",1952,"Montana","265,037","157,394","59.4","4","106,213","40.1","",NA,NA,NA,NA,NA,NA
"3524",1952,"Nebraska","609,660","421,603","69.2","6","188,057","30.8","",NA,NA,NA,NA,NA,NA
"3622",1952,"Nevada","82,190","50,502","61.4","3","31,688","38.6","",NA,NA,NA,NA,NA,NA
"3722",1952,"New Hampshire","272,950","166,287","60.9","4","106,663","39.1","",NA,NA,NA,NA,NA,NA
"3821",1952,"New Jersey","2,418,554","1,373,613","56.8","16","1,015,902","42.0","",NA,NA,NA,NA,NA,NA
"3921",1952,"New Mexico","238,608","132,170","55.4","4","105,661","44.3","",NA,NA,NA,NA,NA,NA
"4020",1952,"New York","7,128,239","3,952,813","55.5","45","3,104,601","43.6","",NA,NA,NA,NA,NA,NA
"4126",1952,"North Carolina","1,210,910","558,107","46.1","","652,803","53.9","14",NA,NA,NA,NA,NA,NA
"4223",1952,"North Dakota","270,127","191,712","71.0","4","76,694","28.4","",NA,NA,NA,NA,NA,NA
"4320",1952,"Ohio","3,700,758","2,100,391","56.8","25","1,600,367","43.2","",NA,NA,NA,NA,NA,NA
"4417",1952,"Oklahoma","948,984","518,045","54.6","8","430,939","45.4","",NA,NA,NA,NA,NA,NA
"4516",1952,"Oregon","695,059","420,815","60.5","6","270,579","38.9","",NA,NA,NA,NA,NA,NA
"4616",1952,"Pennsylvania","4,580,969","2,415,789","52.7","32","2,146,269","46.9","",NA,NA,NA,NA,NA,NA
"4716",1952,"Rhode Island","414,498","210,935","50.9","4","203,293","49.0","",NA,NA,NA,NA,NA,NA
"4816",1952,"South Carolina","341,087","9,793","2.9","","173,004","50.7","8",NA,NA,NA,NA,NA,NA
"4915",1952,"South Dakota","294,283","203,857","69.3","4","90,426","30.7","",NA,NA,NA,NA,NA,NA
"5012",1952,"Tennessee","892,553","446,147","50.0","11","443,710","49.7","",NA,NA,NA,NA,NA,NA
